https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
,28 - 32 g,https://doi.org/10.1159/000448716,PMID:27644033,"Zhai X, Ding Y, Wang Q, Zhang H, Li F. Rutin Acid Ameliorates Neural Apoptosis Induced by Traumatic Brain Injury via Mitochondrial Pathways in MiceNeuroimmunomodulation. 2016;23(3):179-187. doi: 10.1159\/000448716. Epub 2016 Sep 20.","Zhai X, Ding Y, Wang Q, Zhang H, Li F. Rutin Acid Ameliorates Neural Apoptosis Induced by Traumatic Brain Injury via Mitochondrial Pathways in MiceNeuroimmunomodulation. 2016;23(3):179-187. doi: 10.1159\/000448716. Epub 2016 Sep 20.",male,male,mouse,ICR,ICR,,239,"Zhai X, Ding Y, Wang Q, Zhang H, Li F. Rutin Acid Ameliorates Neural Apoptosis Induced by Traumatic Brain Injury via Mitochondrial Pathways in MiceNeuroimmunomodulation. 2016;23(3):179-187. doi: 10.1159\/000448716. Epub 2016 Sep 20.","Zhai X, Ding Y, Wang Q, Zhang H, Li F. Rutin Acid Ameliorates Neural Apoptosis Induced by Traumatic Brain Injury via Mitochondrial Pathways in MiceNeuroimmunomodulation. 2016;23(3):179-187. doi: 10.1159\/000448716. Epub 2016 Sep 20.",male,male,weight-drop device,Weight-drop model
,350 - 400 ,https://doi.org/10.1159/000475434,PMID:28419985,"Liu Y, Lu J, Wang X, Chen L, Liu S, Zhang Z, Yao W. Erythropoietin-Derived Peptide Protects Against Acute Lung Injury After Rat Traumatic Brain InjuryCell Physiol Biochem. 2017;41(5):2037-2044. doi: 10.1159\/000475434. Epub 2017 Apr 14.","Liu Y, Lu J, Wang X, Chen L, Liu S, Zhang Z, Yao W. Erythropoietin-Derived Peptide Protects Against Acute Lung Injury After Rat Traumatic Brain InjuryCell Physiol Biochem. 2017;41(5):2037-2044. doi: 10.1159\/000475434. Epub 2017 Apr 14.",male,male,rat,Lewis,Lewis,,240,"Liu Y, Lu J, Wang X, Chen L, Liu S, Zhang Z, Yao W. Erythropoietin-Derived Peptide Protects Against Acute Lung Injury After Rat Traumatic Brain InjuryCell Physiol Biochem. 2017;41(5):2037-2044. doi: 10.1159\/000475434. Epub 2017 Apr 14.","Liu Y, Lu J, Wang X, Chen L, Liu S, Zhang Z, Yao W. Erythropoietin-Derived Peptide Protects Against Acute Lung Injury After Rat Traumatic Brain InjuryCell Physiol Biochem. 2017;41(5):2037-2044. doi: 10.1159\/000475434. Epub 2017 Apr 14.",male,male,weight-drop,Weight-drop model
Adult,,https://doi.org/10.1089/neu.2012.2536,PMID:23153355,"Dapul HR, Park J, Zhang J, Lee C, DanEshmand A, Lok J, Ayata C, Gray T, Scalzo A, Qiu J, Lo EH, Whalen MJ. Concussive injury before or after controlled cortical impact exacerbates histopathology and functional outcome in a mixed traumatic brain injury model in miceJ Neurotrauma. 2013 Mar 1;30(5):382-91. doi: 10.1089\/neu.2012.2536. Epub 2013 Feb 20. PMC3593692","Dapul HR, Park J, Zhang J, Lee C, DanEshmand A, Lok J, Ayata C, Gray T, Scalzo A, Qiu J, Lo EH, Whalen MJ. Concussive injury before or after controlled cortical impact exacerbates histopathology and functional outcome in a mixed traumatic brain injury model in miceJ Neurotrauma. 2013 Mar 1;30(5):382-91. doi: 10.1089\/neu.2012.2536. Epub 2013 Feb 20. PMC3593692",male,male,mouse,C57BL,C57BL/6,,247,"Dapul HR, Park J, Zhang J, Lee C, DanEshmand A, Lok J, Ayata C, Gray T, Scalzo A, Qiu J, Lo EH, Whalen MJ. Concussive injury before or after controlled cortical impact exacerbates histopathology and functional outcome in a mixed traumatic brain injury model in miceJ Neurotrauma. 2013 Mar 1;30(5):382-91. doi: 10.1089\/neu.2012.2536. Epub 2013 Feb 20. PMC3593692","Dapul HR, Park J, Zhang J, Lee C, DanEshmand A, Lok J, Ayata C, Gray T, Scalzo A, Qiu J, Lo EH, Whalen MJ. Concussive injury before or after controlled cortical impact exacerbates histopathology and functional outcome in a mixed traumatic brain injury model in miceJ Neurotrauma. 2013 Mar 1;30(5):382-91. doi: 10.1089\/neu.2012.2536. Epub 2013 Feb 20. PMC3593692",male,male,pneumatic controlled cortical impact,Controlled cortical impact model
,300 - 325 g,https://doi.org/10.1089/neu.2012.2560,PMID:22774771,"Cheng JP, Shaw KE, Monaco CM, Hoffman AN, Sozda CN, Olsen AS, Kline AE. A relatively brief exposure to environmental enrichment after experimental traumatic brain injury confers long-term cognitive benefitsJ Neurotrauma. 2012 Nov 20;29(17):2684-8. doi: 10.1089\/neu.2012.2560. Epub 2012 Aug 27. PMC3510443","Cheng JP, Shaw KE, Monaco CM, Hoffman AN, Sozda CN, Olsen AS, Kline AE. A relatively brief exposure to environmental enrichment after experimental traumatic brain injury confers long-term cognitive benefitsJ Neurotrauma. 2012 Nov 20;29(17):2684-8. doi: 10.1089\/neu.2012.2560. Epub 2012 Aug 27. PMC3510443",male,male,rat,"Harlan, Sprague-Dawley","Harlan, Sprague-Dawley",,248,"Cheng JP, Shaw KE, Monaco CM, Hoffman AN, Sozda CN, Olsen AS, Kline AE. A relatively brief exposure to environmental enrichment after experimental traumatic brain injury confers long-term cognitive benefitsJ Neurotrauma. 2012 Nov 20;29(17):2684-8. doi: 10.1089\/neu.2012.2560. Epub 2012 Aug 27. PMC3510443","Cheng JP, Shaw KE, Monaco CM, Hoffman AN, Sozda CN, Olsen AS, Kline AE. A relatively brief exposure to environmental enrichment after experimental traumatic brain injury confers long-term cognitive benefitsJ Neurotrauma. 2012 Nov 20;29(17):2684-8. doi: 10.1089\/neu.2012.2560. Epub 2012 Aug 27. PMC3510443",male,male,pneumatic controlled cortical impact,Controlled cortical impact model
,22 - 28 g,https://doi.org/10.1089/neu.2013.3251,PMID:24731132,"Lee JH, Wei L, Gu X, Wei Z, Dix TA, Yu SP. Therapeutic effects of pharmacologically induced hypothermia against traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1417-30. doi: 10.1089\/neu.2013.3251. Epub 2014 Jul 7. PMC4132583","Lee JH, Wei L, Gu X, Wei Z, Dix TA, Yu SP. Therapeutic effects of pharmacologically induced hypothermia against traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1417-30. doi: 10.1089\/neu.2013.3251. Epub 2014 Jul 7. PMC4132583",male,male,mouse,C57BL,C57BL/6,PCI3000 precision cortical impactor,249,"Lee JH, Wei L, Gu X, Wei Z, Dix TA, Yu SP. Therapeutic effects of pharmacologically induced hypothermia against traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1417-30. doi: 10.1089\/neu.2013.3251. Epub 2014 Jul 7. PMC4132583","Lee JH, Wei L, Gu X, Wei Z, Dix TA, Yu SP. Therapeutic effects of pharmacologically induced hypothermia against traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1417-30. doi: 10.1089\/neu.2013.3251. Epub 2014 Jul 7. PMC4132583",male,male,electric impact device,Controlled cortical impact model
Adult,230 - 270 g,https://doi.org/10.1089/neu.2015.4001,PMID:26414556,"Büchele F, Morawska MM, Schreglmann SR, Penner M, Muser M, Baumann CR, Noain D. Novel Rat Model of Weight Drop-Induced Closed Diffuse Traumatic Brain Injury Compatible with Electrophysiological Recordings of Vigilance StatesJ Neurotrauma. 2016 Jul 1;33(13):1171-80. doi: 10.1089\/neu.2015.4001. Epub 2015 Nov 13.","Büchele F, Morawska MM, Schreglmann SR, Penner M, Muser M, Baumann CR, Noain D. Novel Rat Model of Weight Drop-Induced Closed Diffuse Traumatic Brain Injury Compatible with Electrophysiological Recordings of Vigilance StatesJ Neurotrauma. 2016 Jul 1;33(13):1171-80. doi: 10.1089\/neu.2015.4001. Epub 2015 Nov 13.",male,male,rat,Sprague-Dawley,Sprague-Dawley,,251,"Büchele F, Morawska MM, Schreglmann SR, Penner M, Muser M, Baumann CR, Noain D. Novel Rat Model of Weight Drop-Induced Closed Diffuse Traumatic Brain Injury Compatible with Electrophysiological Recordings of Vigilance StatesJ Neurotrauma. 2016 Jul 1;33(13):1171-80. doi: 10.1089\/neu.2015.4001. Epub 2015 Nov 13.","Büchele F, Morawska MM, Schreglmann SR, Penner M, Muser M, Baumann CR, Noain D. Novel Rat Model of Weight Drop-Induced Closed Diffuse Traumatic Brain Injury Compatible with Electrophysiological Recordings of Vigilance StatesJ Neurotrauma. 2016 Jul 1;33(13):1171-80. doi: 10.1089\/neu.2015.4001. Epub 2015 Nov 13.",male,male,weight-drop,Weight-drop model
,,https://doi.org/10.1089/neu.2015.4355,PMID:26905805,"Tu TW, Lescher JD, Williams RA, Jikaria N, Turtzo LC, Frank JA. Abnormal Injury Response in Spontaneous Mild Ventriculomegaly Wistar Rat Brains: A Pathological Correlation Study of Diffusion Tensor and Magnetization Transfer Imaging in Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 1;34(1):248-256. doi: 10.1089\/neu.2015.4355. Epub 2016 Apr 11. PMC5198143","Tu TW, Lescher JD, Williams RA, Jikaria N, Turtzo LC, Frank JA. Abnormal Injury Response in Spontaneous Mild Ventriculomegaly Wistar Rat Brains: A Pathological Correlation Study of Diffusion Tensor and Magnetization Transfer Imaging in Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 1;34(1):248-256. doi: 10.1089\/neu.2015.4355. Epub 2016 Apr 11. PMC5198143",female,female,rat,Wistar,Wistar,,252,"Tu TW, Lescher JD, Williams RA, Jikaria N, Turtzo LC, Frank JA. Abnormal Injury Response in Spontaneous Mild Ventriculomegaly Wistar Rat Brains: A Pathological Correlation Study of Diffusion Tensor and Magnetization Transfer Imaging in Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 1;34(1):248-256. doi: 10.1089\/neu.2015.4355. Epub 2016 Apr 11. PMC5198143","Tu TW, Lescher JD, Williams RA, Jikaria N, Turtzo LC, Frank JA. Abnormal Injury Response in Spontaneous Mild Ventriculomegaly Wistar Rat Brains: A Pathological Correlation Study of Diffusion Tensor and Magnetization Transfer Imaging in Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 1;34(1):248-256. doi: 10.1089\/neu.2015.4355. Epub 2016 Apr 11. PMC5198143",female,female,weight-drip,Weight-drop model
"Adult, Adolescent",,https://doi.org/10.1089/neu.2016.4457,PMID:27368354,"Mannix R, Berkner J, Mei Z, Alcon S, Hashim J, Robinson S, Jantzie L, Meehan WP 3rd, Qiu J. Adolescent Mice Demonstrate a Distinct Pattern of Injury after Repetitive Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 15;34(2):495-504. doi: 10.1089\/neu.2016.4457. Epub 2016 Jul 27. PMC5220578","Mannix R, Berkner J, Mei Z, Alcon S, Hashim J, Robinson S, Jantzie L, Meehan WP 3rd, Qiu J. Adolescent Mice Demonstrate a Distinct Pattern of Injury after Repetitive Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 15;34(2):495-504. doi: 10.1089\/neu.2016.4457. Epub 2016 Jul 27. PMC5220578",male,male,mouse,C57BL,C57BL/6,,253,"Mannix R, Berkner J, Mei Z, Alcon S, Hashim J, Robinson S, Jantzie L, Meehan WP 3rd, Qiu J. Adolescent Mice Demonstrate a Distinct Pattern of Injury after Repetitive Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 15;34(2):495-504. doi: 10.1089\/neu.2016.4457. Epub 2016 Jul 27. PMC5220578","Mannix R, Berkner J, Mei Z, Alcon S, Hashim J, Robinson S, Jantzie L, Meehan WP 3rd, Qiu J. Adolescent Mice Demonstrate a Distinct Pattern of Injury after Repetitive Mild Traumatic Brain InjuryJ Neurotrauma. 2017 Jan 15;34(2):495-504. doi: 10.1089\/neu.2016.4457. Epub 2016 Jul 27. PMC5220578",male,male,weight-drop,Other
,300 - 450 g,https://doi.org/10.1089/neu.2016.4517,PMID:27762651,"Jamnia N, Urban JH, Stutzmann GE, Chiren SG, Reisenbigler E, Marr R, Peterson DA, Kozlowski DA. A Clinically Relevant Closed-Head Model of Single and Repeat Concussive Injury in the Adult Rat Using a Controlled Cortical Impact DeviceJ Neurotrauma. 2017 Apr 1;34(7):1351-1363. doi: 10.1089\/neu.2016.4517. Epub 2016 Dec 2.","Jamnia N, Urban JH, Stutzmann GE, Chiren SG, Reisenbigler E, Marr R, Peterson DA, Kozlowski DA. A Clinically Relevant Closed-Head Model of Single and Repeat Concussive Injury in the Adult Rat Using a Controlled Cortical Impact DeviceJ Neurotrauma. 2017 Apr 1;34(7):1351-1363. doi: 10.1089\/neu.2016.4517. Epub 2016 Dec 2.",male,male,rat,Long-Evans,Long-Evans,Leica Impact One,254,"Jamnia N, Urban JH, Stutzmann GE, Chiren SG, Reisenbigler E, Marr R, Peterson DA, Kozlowski DA. A Clinically Relevant Closed-Head Model of Single and Repeat Concussive Injury in the Adult Rat Using a Controlled Cortical Impact DeviceJ Neurotrauma. 2017 Apr 1;34(7):1351-1363. doi: 10.1089\/neu.2016.4517. Epub 2016 Dec 2.","Jamnia N, Urban JH, Stutzmann GE, Chiren SG, Reisenbigler E, Marr R, Peterson DA, Kozlowski DA. A Clinically Relevant Closed-Head Model of Single and Repeat Concussive Injury in the Adult Rat Using a Controlled Cortical Impact DeviceJ Neurotrauma. 2017 Apr 1;34(7):1351-1363. doi: 10.1089\/neu.2016.4517. Epub 2016 Dec 2.",male,male,controlled cortical impact device,Controlled cortical impact model
,251 - 275 g,https://doi.org/10.1089/neu.2016.4851,PMID:28376701,"Hou J, Nelson R, Wilkie Z, Mustafa G, Tsuda S, Thompson FJ, Bose P. Mild and Mild-to-Moderate Traumatic Brain Injury-Induced Significant Progressive and Enduring Multiple ComorbiditiesJ Neurotrauma. 2017 Aug 15;34(16):2456-2466. doi: 10.1089\/neu.2016.4851. Epub 2017 Jun 9.","Hou J, Nelson R, Wilkie Z, Mustafa G, Tsuda S, Thompson FJ, Bose P. Mild and Mild-to-Moderate Traumatic Brain Injury-Induced Significant Progressive and Enduring Multiple ComorbiditiesJ Neurotrauma. 2017 Aug 15;34(16):2456-2466. doi: 10.1089\/neu.2016.4851. Epub 2017 Jun 9.",female,female,rat,Sprague-Dawley,Sprague-Dawley,,255,"Hou J, Nelson R, Wilkie Z, Mustafa G, Tsuda S, Thompson FJ, Bose P. Mild and Mild-to-Moderate Traumatic Brain Injury-Induced Significant Progressive and Enduring Multiple ComorbiditiesJ Neurotrauma. 2017 Aug 15;34(16):2456-2466. doi: 10.1089\/neu.2016.4851. Epub 2017 Jun 9.","Hou J, Nelson R, Wilkie Z, Mustafa G, Tsuda S, Thompson FJ, Bose P. Mild and Mild-to-Moderate Traumatic Brain Injury-Induced Significant Progressive and Enduring Multiple ComorbiditiesJ Neurotrauma. 2017 Aug 15;34(16):2456-2466. doi: 10.1089\/neu.2016.4851. Epub 2017 Jun 9.",female,female,closed head CCI,Weight-drop model
,300 - 350 g,https://doi.org/10.1089/neu.2017.5056,PMID:29179622,"Szarka N, Pabbidi MR, Amrein K, Czeiter E, Berta G, Pohoczky K, Helyes Z, Ungvari Z, Koller A, Buki A, Toth P. Traumatic Brain Injury Impairs Myogenic Constriction of Cerebral Arteries: Role of Mitochondria-Derived H(2)O(2) and TRPV4-Dependent Activation of BK(ca) ChannelsJ Neurotrauma. 2018 Apr 1;35(7):930-939. doi: 10.1089\/neu.2017.5056. Epub 2018 Jan 12. PMC5865628","Szarka N, Pabbidi MR, Amrein K, Czeiter E, Berta G, Pohoczky K, Helyes Z, Ungvari Z, Koller A, Buki A, Toth P. Traumatic Brain Injury Impairs Myogenic Constriction of Cerebral Arteries: Role of Mitochondria-Derived H(2)O(2) and TRPV4-Dependent Activation of BK(ca) ChannelsJ Neurotrauma. 2018 Apr 1;35(7):930-939. doi: 10.1089\/neu.2017.5056. Epub 2018 Jan 12. PMC5865628",male,male,rat,Wistar,Wistar–Kyoto,,256,"Szarka N, Pabbidi MR, Amrein K, Czeiter E, Berta G, Pohoczky K, Helyes Z, Ungvari Z, Koller A, Buki A, Toth P. Traumatic Brain Injury Impairs Myogenic Constriction of Cerebral Arteries: Role of Mitochondria-Derived H(2)O(2) and TRPV4-Dependent Activation of BK(ca) ChannelsJ Neurotrauma. 2018 Apr 1;35(7):930-939. doi: 10.1089\/neu.2017.5056. Epub 2018 Jan 12. PMC5865628","Szarka N, Pabbidi MR, Amrein K, Czeiter E, Berta G, Pohoczky K, Helyes Z, Ungvari Z, Koller A, Buki A, Toth P. Traumatic Brain Injury Impairs Myogenic Constriction of Cerebral Arteries: Role of Mitochondria-Derived H(2)O(2) and TRPV4-Dependent Activation of BK(ca) ChannelsJ Neurotrauma. 2018 Apr 1;35(7):930-939. doi: 10.1089\/neu.2017.5056. Epub 2018 Jan 12. PMC5865628",male,male,weight-drop,Weight-drop model
,,https://doi.org/10.1089/neu.2017.5270,PMID:29774782,"Chandrasekar A, Olde Heuvel F, Wepler M, Rehman R, Palmer A, Catanese A, Linkus B, Ludolph A, Boeckers T, Huber-Lang M, Radermacher P, Roselli F. The Neuroprotective Effect of Ethanol Intoxication in Traumatic Brain Injury Is Associated with the Suppression of ErbB Signaling in Parvalbumin-Positive InterneuronsJ Neurotrauma. 2018 Nov 15;35(22):2718-2735. doi: 10.1089\/neu.2017.5270. Epub 2018 Jul 23.","Chandrasekar A, Olde Heuvel F, Wepler M, Rehman R, Palmer A, Catanese A, Linkus B, Ludolph A, Boeckers T, Huber-Lang M, Radermacher P, Roselli F. The Neuroprotective Effect of Ethanol Intoxication in Traumatic Brain Injury Is Associated with the Suppression of ErbB Signaling in Parvalbumin-Positive InterneuronsJ Neurotrauma. 2018 Nov 15;35(22):2718-2735. doi: 10.1089\/neu.2017.5270. Epub 2018 Jul 23.",male,male,mouse,B6,B6 (transgenic),,257,"Chandrasekar A, Olde Heuvel F, Wepler M, Rehman R, Palmer A, Catanese A, Linkus B, Ludolph A, Boeckers T, Huber-Lang M, Radermacher P, Roselli F. The Neuroprotective Effect of Ethanol Intoxication in Traumatic Brain Injury Is Associated with the Suppression of ErbB Signaling in Parvalbumin-Positive InterneuronsJ Neurotrauma. 2018 Nov 15;35(22):2718-2735. doi: 10.1089\/neu.2017.5270. Epub 2018 Jul 23.","Chandrasekar A, Olde Heuvel F, Wepler M, Rehman R, Palmer A, Catanese A, Linkus B, Ludolph A, Boeckers T, Huber-Lang M, Radermacher P, Roselli F. The Neuroprotective Effect of Ethanol Intoxication in Traumatic Brain Injury Is Associated with the Suppression of ErbB Signaling in Parvalbumin-Positive InterneuronsJ Neurotrauma. 2018 Nov 15;35(22):2718-2735. doi: 10.1089\/neu.2017.5270. Epub 2018 Jul 23.",male,male,weight-drop,Weight-drop model
,,https://doi.org/10.1089/neu.2017.5593,PMID: 29463176,"Förstner P, Rehman R, Anastasiadou S, Haffner-Luntzer M, Sinske D, Ignatius A, Roselli F, Knöll B. Neuroinflammation after Traumatic Brain Injury Is Enhanced in Activating Transcription Factor 3 Mutant MiceJ Neurotrauma. 2018 Oct 1;35(19):2317-2329. doi: 10.1089\/neu.2017.5593. Epub 2018 Jun 5.","Förstner P, Rehman R, Anastasiadou S, Haffner-Luntzer M, Sinske D, Ignatius A, Roselli F, Knöll B. Neuroinflammation after Traumatic Brain Injury Is Enhanced in Activating Transcription Factor 3 Mutant MiceJ Neurotrauma. 2018 Oct 1;35(19):2317-2329. doi: 10.1089\/neu.2017.5593. Epub 2018 Jun 5.","male, female","male, female",mouse,C57BL,C57BL/6 ,,258,"Förstner P, Rehman R, Anastasiadou S, Haffner-Luntzer M, Sinske D, Ignatius A, Roselli F, Knöll B. Neuroinflammation after Traumatic Brain Injury Is Enhanced in Activating Transcription Factor 3 Mutant MiceJ Neurotrauma. 2018 Oct 1;35(19):2317-2329. doi: 10.1089\/neu.2017.5593. Epub 2018 Jun 5.","Förstner P, Rehman R, Anastasiadou S, Haffner-Luntzer M, Sinske D, Ignatius A, Roselli F, Knöll B. Neuroinflammation after Traumatic Brain Injury Is Enhanced in Activating Transcription Factor 3 Mutant MiceJ Neurotrauma. 2018 Oct 1;35(19):2317-2329. doi: 10.1089\/neu.2017.5593. Epub 2018 Jun 5.","male, female","male, female",weight-drop,Weight-drop model
,21.5 - 33.5 g,https://doi.org/10.1089/neu.2018.5844,PMID:29999455,"Bouley J, Chung DY, Ayata C, Brown RH Jr, Henninger N. Cortical Spreading Depression Denotes Concussion InjuryJ Neurotrauma. 2019 Apr 1;36(7):1008-1017. doi: 10.1089\/neu.2018.5844. Epub 2018 Aug 24. PMC6444888","Bouley J, Chung DY, Ayata C, Brown RH Jr, Henninger N. Cortical Spreading Depression Denotes Concussion InjuryJ Neurotrauma. 2019 Apr 1;36(7):1008-1017. doi: 10.1089\/neu.2018.5844. Epub 2018 Aug 24. PMC6444888",male,male,mouse,C57BL,C57BL/6J,,259,"Bouley J, Chung DY, Ayata C, Brown RH Jr, Henninger N. Cortical Spreading Depression Denotes Concussion InjuryJ Neurotrauma. 2019 Apr 1;36(7):1008-1017. doi: 10.1089\/neu.2018.5844. Epub 2018 Aug 24. PMC6444888","Bouley J, Chung DY, Ayata C, Brown RH Jr, Henninger N. Cortical Spreading Depression Denotes Concussion InjuryJ Neurotrauma. 2019 Apr 1;36(7):1008-1017. doi: 10.1089\/neu.2018.5844. Epub 2018 Aug 24. PMC6444888",male,male,weight-drop device,Weight-drop model
,,https://doi.org/10.1089/neu.2021.0184,PMID:34353119,"Perez Garcia G, De Gasperi R, Tschiffely AE, Gama Sosa MA, Abutarboush R, Kawoos U, Statz JK, Ciarlone S, Reed E, Jeyarajah T, Perez GM, Otero-Pagan A, Pryor D, Hof PR, Cook DG, Gandy S, Elder GA, Ahlers ST. Repetitive Low-Level Blast Exposure Improves Behavioral Deficits and Chronically Lowers Aβ42 in an Alzheimer Disease Transgenic Mouse ModelJ Neurotrauma. 2021 Nov 15;38(22):3146-3173. doi: 10.1089\/neu.2021.0184. Epub 2021 Sep 15. PMC8820291","Perez Garcia G, De Gasperi R, Tschiffely AE, Gama Sosa MA, Abutarboush R, Kawoos U, Statz JK, Ciarlone S, Reed E, Jeyarajah T, Perez GM, Otero-Pagan A, Pryor D, Hof PR, Cook DG, Gandy S, Elder GA, Ahlers ST. Repetitive Low-Level Blast Exposure Improves Behavioral Deficits and Chronically Lowers Aβ42 in an Alzheimer Disease Transgenic Mouse ModelJ Neurotrauma. 2021 Nov 15;38(22):3146-3173. doi: 10.1089\/neu.2021.0184. Epub 2021 Sep 15. PMC8820291",No sex reported,No sex reported,mouse,C57BL,C57BL/6,,261,"Perez Garcia G, De Gasperi R, Tschiffely AE, Gama Sosa MA, Abutarboush R, Kawoos U, Statz JK, Ciarlone S, Reed E, Jeyarajah T, Perez GM, Otero-Pagan A, Pryor D, Hof PR, Cook DG, Gandy S, Elder GA, Ahlers ST. Repetitive Low-Level Blast Exposure Improves Behavioral Deficits and Chronically Lowers Aβ42 in an Alzheimer Disease Transgenic Mouse ModelJ Neurotrauma. 2021 Nov 15;38(22):3146-3173. doi: 10.1089\/neu.2021.0184. Epub 2021 Sep 15. PMC8820291","Perez Garcia G, De Gasperi R, Tschiffely AE, Gama Sosa MA, Abutarboush R, Kawoos U, Statz JK, Ciarlone S, Reed E, Jeyarajah T, Perez GM, Otero-Pagan A, Pryor D, Hof PR, Cook DG, Gandy S, Elder GA, Ahlers ST. Repetitive Low-Level Blast Exposure Improves Behavioral Deficits and Chronically Lowers Aβ42 in an Alzheimer Disease Transgenic Mouse ModelJ Neurotrauma. 2021 Nov 15;38(22):3146-3173. doi: 10.1089\/neu.2021.0184. Epub 2021 Sep 15. PMC8820291",No sex reported,No sex reported,shock tube,Blast model
,,https://doi.org/10.1089/neur.2021.0005,PMID:34901948,"Perez Garcia G, Perez GM, Otero-Pagan A, Abutarboush R, Kawoos U, De Gasperi R, Gama Sosa MA, Pryor D, Hof PR, Cook DG, Gandy S, Ahlers ST, Elder GA. Transcranial Laser Therapy Does Not Improve Cognitive and Post-Traumatic Stress Disorder-Related Behavioral Traits in Rats Exposed to Repetitive Low-Level Blast InjuryNeurotrauma Rep. 2021 Dec 2;2(1):548-563. doi: 10.1089\/neur.2021.0005. eCollection 2021. PMC8655798","Perez Garcia G, Perez GM, Otero-Pagan A, Abutarboush R, Kawoos U, De Gasperi R, Gama Sosa MA, Pryor D, Hof PR, Cook DG, Gandy S, Ahlers ST, Elder GA. Transcranial Laser Therapy Does Not Improve Cognitive and Post-Traumatic Stress Disorder-Related Behavioral Traits in Rats Exposed to Repetitive Low-Level Blast InjuryNeurotrauma Rep. 2021 Dec 2;2(1):548-563. doi: 10.1089\/neur.2021.0005. eCollection 2021. PMC8655798",male,male,rat,Long-Evans,Long-Evans,,262,"Perez Garcia G, Perez GM, Otero-Pagan A, Abutarboush R, Kawoos U, De Gasperi R, Gama Sosa MA, Pryor D, Hof PR, Cook DG, Gandy S, Ahlers ST, Elder GA. Transcranial Laser Therapy Does Not Improve Cognitive and Post-Traumatic Stress Disorder-Related Behavioral Traits in Rats Exposed to Repetitive Low-Level Blast InjuryNeurotrauma Rep. 2021 Dec 2;2(1):548-563. doi: 10.1089\/neur.2021.0005. eCollection 2021. PMC8655798","Perez Garcia G, Perez GM, Otero-Pagan A, Abutarboush R, Kawoos U, De Gasperi R, Gama Sosa MA, Pryor D, Hof PR, Cook DG, Gandy S, Ahlers ST, Elder GA. Transcranial Laser Therapy Does Not Improve Cognitive and Post-Traumatic Stress Disorder-Related Behavioral Traits in Rats Exposed to Repetitive Low-Level Blast InjuryNeurotrauma Rep. 2021 Dec 2;2(1):548-563. doi: 10.1089\/neur.2021.0005. eCollection 2021. PMC8655798",male,male,blast tube,Blast model
Adult,300 - 350 g,https://doi.org/110.1089/brain.2021.0168,PMID:35302399,"Nakuci J, McGuire M, Schweser F, Poulsen D, Muldoon SF. Differential Patterns of Change in Brain Connectivity Resulting from Severe Traumatic Brain InjuryBrain Connect. 2022 May 5. doi: 10.1089\/brain.2021.0168. Online ahead of print.","Nakuci J, McGuire M, Schweser F, Poulsen D, Muldoon SF. Differential Patterns of Change in Brain Connectivity Resulting from Severe Traumatic Brain InjuryBrain Connect. 2022 May 5. doi: 10.1089\/brain.2021.0168. Online ahead of print.",male,male,rat,Wistar,Wistar,,263,"Nakuci J, McGuire M, Schweser F, Poulsen D, Muldoon SF. Differential Patterns of Change in Brain Connectivity Resulting from Severe Traumatic Brain InjuryBrain Connect. 2022 May 5. doi: 10.1089\/brain.2021.0168. Online ahead of print.","Nakuci J, McGuire M, Schweser F, Poulsen D, Muldoon SF. Differential Patterns of Change in Brain Connectivity Resulting from Severe Traumatic Brain InjuryBrain Connect. 2022 May 5. doi: 10.1089\/brain.2021.0168. Online ahead of print.",male,male,lateral fluid percussion,Fluid percussion injury model
